ID_LAT_LON_YEAR_WEEK,emission
ID_-0.510_29.290_2022_00,53.287117
ID_-0.510_29.290_2022_01,56.720596
ID_-0.510_29.290_2022_02,31.344294
ID_-0.510_29.290_2022_03,53.573757
ID_-0.510_29.290_2022_04,51.389038
ID_-0.510_29.290_2022_05,67.21962
ID_-0.510_29.290_2022_06,80.61254
ID_-0.510_29.290_2022_07,51.730007
ID_-0.510_29.290_2022_08,78.131424
ID_-0.510_29.290_2022_09,53.180225
ID_-0.510_29.290_2022_10,81.43966
ID_-0.510_29.290_2022_11,70.130936
ID_-0.510_29.290_2022_12,78.468056
ID_-0.510_29.290_2022_13,95.34493
ID_-0.510_29.290_2022_14,55.25868
ID_-0.510_29.290_2022_15,80.09393
ID_-0.510_29.290_2022_16,67.92915
ID_-0.510_29.290_2022_17,85.02198
ID_-0.510_29.290_2022_18,6.2156963
ID_-0.510_29.290_2022_19,67.75735
ID_-0.510_29.290_2022_20,74.67157
ID_-0.510_29.290_2022_21,43.063187
ID_-0.510_29.290_2022_22,54.649715
ID_-0.510_29.290_2022_23,93.19527
ID_-0.510_29.290_2022_24,88.59588
ID_-0.510_29.290_2022_25,70.90357
ID_-0.510_29.290_2022_26,77.39955
ID_-0.510_29.290_2022_27,77.896935
ID_-0.510_29.290_2022_28,67.94705
ID_-0.510_29.290_2022_29,88.23394
ID_-0.510_29.290_2022_30,37.126568
ID_-0.510_29.290_2022_31,35.98697
ID_-0.510_29.290_2022_32,72.250694
ID_-0.510_29.290_2022_33,56.164825
ID_-0.510_29.290_2022_34,41.53977
ID_-0.510_29.290_2022_35,76.07862
ID_-0.510_29.290_2022_36,92.37996
ID_-0.510_29.290_2022_37,30.62557
ID_-0.510_29.290_2022_38,54.778378
ID_-0.510_29.290_2022_39,68.48131
ID_-0.510_29.290_2022_40,34.10546
ID_-0.510_29.290_2022_41,115.771835
ID_-0.510_29.290_2022_42,64.45643
ID_-0.510_29.290_2022_43,77.96777
ID_-0.510_29.290_2022_44,28.479345
ID_-0.510_29.290_2022_45,70.604256
ID_-0.510_29.290_2022_46,103.17105
ID_-0.510_29.290_2022_47,96.15875
ID_-0.510_29.290_2022_48,60.61747
ID_-0.528_29.472_2022_00,52.371864
ID_-0.528_29.472_2022_01,42.550663
ID_-0.528_29.472_2022_02,11.736067
ID_-0.528_29.472_2022_03,46.10784
ID_-0.528_29.472_2022_04,44.356632
ID_-0.528_29.472_2022_05,43.826042
ID_-0.528_29.472_2022_06,34.122383
ID_-0.528_29.472_2022_07,67.395065
ID_-0.528_29.472_2022_08,76.729576
ID_-0.528_29.472_2022_09,55.164883
ID_-0.528_29.472_2022_10,4.6251125
ID_-0.528_29.472_2022_11,42.397373
ID_-0.528_29.472_2022_12,68.41601
ID_-0.528_29.472_2022_13,46.84012
ID_-0.528_29.472_2022_14,62.210293
ID_-0.528_29.472_2022_15,29.494017
ID_-0.528_29.472_2022_16,29.852602
ID_-0.528_29.472_2022_17,74.09944
ID_-0.528_29.472_2022_18,17.693663
ID_-0.528_29.472_2022_19,62.16635
ID_-0.528_29.472_2022_20,52.96644
ID_-0.528_29.472_2022_21,52.107437
ID_-0.528_29.472_2022_22,51.30372
ID_-0.528_29.472_2022_23,56.968704
ID_-0.528_29.472_2022_24,71.20235
ID_-0.528_29.472_2022_25,98.11724
ID_-0.528_29.472_2022_26,97.17217
ID_-0.528_29.472_2022_27,64.68638
ID_-0.528_29.472_2022_28,70.22194
ID_-0.528_29.472_2022_29,79.11129
ID_-0.528_29.472_2022_30,87.22692
ID_-0.528_29.472_2022_31,55.343086
ID_-0.528_29.472_2022_32,45.356663
ID_-0.528_29.472_2022_33,47.56235
ID_-0.528_29.472_2022_34,31.033987
ID_-0.528_29.472_2022_35,78.78158
ID_-0.528_29.472_2022_36,66.43947
ID_-0.528_29.472_2022_37,29.274172
ID_-0.528_29.472_2022_38,43.527454
ID_-0.528_29.472_2022_39,74.11352
ID_-0.528_29.472_2022_40,31.215475
ID_-0.528_29.472_2022_41,41.670822
ID_-0.528_29.472_2022_42,57.64506
ID_-0.528_29.472_2022_43,72.81761
ID_-0.528_29.472_2022_44,20.448172
ID_-0.528_29.472_2022_45,110.753876
ID_-0.528_29.472_2022_46,87.78623
ID_-0.528_29.472_2022_47,85.91003
ID_-0.528_29.472_2022_48,90.512924
ID_-0.547_29.653_2022_00,53.50206
ID_-0.547_29.653_2022_01,39.50918
ID_-0.547_29.653_2022_02,15.548925
ID_-0.547_29.653_2022_03,31.699884
ID_-0.547_29.653_2022_04,35.608418
ID_-0.547_29.653_2022_05,0.7246458
ID_-0.547_29.653_2022_06,30.344011
ID_-0.547_29.653_2022_07,45.245167
ID_-0.547_29.653_2022_08,7.0615826
ID_-0.547_29.653_2022_09,11.367575
ID_-0.547_29.653_2022_10,3.6870024
ID_-0.547_29.653_2022_11,37.824722
ID_-0.547_29.653_2022_12,52.34955
ID_-0.547_29.653_2022_13,51.301697
ID_-0.547_29.653_2022_14,66.98971
ID_-0.547_29.653_2022_15,42.584194
ID_-0.547_29.653_2022_16,60.589607
ID_-0.547_29.653_2022_17,48.32912
ID_-0.547_29.653_2022_18,40.76109
ID_-0.547_29.653_2022_19,61.506424
ID_-0.547_29.653_2022_20,52.335457
ID_-0.547_29.653_2022_21,50.7031
ID_-0.547_29.653_2022_22,31.688131
ID_-0.547_29.653_2022_23,67.09764
ID_-0.547_29.653_2022_24,53.829533
ID_-0.547_29.653_2022_25,16.569593
ID_-0.547_29.653_2022_26,50.53031
ID_-0.547_29.653_2022_27,34.23843
ID_-0.547_29.653_2022_28,12.406881
ID_-0.547_29.653_2022_29,11.354963
ID_-0.547_29.653_2022_30,45.567303
ID_-0.547_29.653_2022_31,36.509262
ID_-0.547_29.653_2022_32,54.1355
ID_-0.547_29.653_2022_33,50.73211
ID_-0.547_29.653_2022_34,31.252813
ID_-0.547_29.653_2022_35,97.52319
ID_-0.547_29.653_2022_36,55.261353
ID_-0.547_29.653_2022_37,51.35182
ID_-0.547_29.653_2022_38,47.06491
ID_-0.547_29.653_2022_39,64.4862
ID_-0.547_29.653_2022_40,55.851368
ID_-0.547_29.653_2022_41,77.873955
ID_-0.547_29.653_2022_42,81.48933
ID_-0.547_29.653_2022_43,58.50675
ID_-0.547_29.653_2022_44,63.21054
ID_-0.547_29.653_2022_45,81.5858
ID_-0.547_29.653_2022_46,79.80009
ID_-0.547_29.653_2022_47,106.24033
ID_-0.547_29.653_2022_48,98.67828
ID_-0.569_30.031_2022_00,68.47724
ID_-0.569_30.031_2022_01,27.025331
ID_-0.569_30.031_2022_02,35.606384
ID_-0.569_30.031_2022_03,71.96849
ID_-0.569_30.031_2022_04,44.23171
ID_-0.569_30.031_2022_05,59.319946
ID_-0.569_30.031_2022_06,70.36416
ID_-0.569_30.031_2022_07,42.885178
ID_-0.569_30.031_2022_08,61.91875
ID_-0.569_30.031_2022_09,62.606365
ID_-0.569_30.031_2022_10,74.39935
ID_-0.569_30.031_2022_11,73.30145
ID_-0.569_30.031_2022_12,68.152824
ID_-0.569_30.031_2022_13,83.386185
ID_-0.569_30.031_2022_14,52.323772
ID_-0.569_30.031_2022_15,68.15244
ID_-0.569_30.031_2022_16,52.92745
ID_-0.569_30.031_2022_17,28.128313
ID_-0.569_30.031_2022_18,17.521132
ID_-0.569_30.031_2022_19,27.133966
ID_-0.569_30.031_2022_20,39.3915
ID_-0.569_30.031_2022_21,37.83538
ID_-0.569_30.031_2022_22,16.367521
ID_-0.569_30.031_2022_23,42.87552
ID_-0.569_30.031_2022_24,78.33263
ID_-0.569_30.031_2022_25,39.568504
ID_-0.569_30.031_2022_26,87.845215
ID_-0.569_30.031_2022_27,78.834854
ID_-0.569_30.031_2022_28,50.727
ID_-0.569_30.031_2022_29,44.490284
ID_-0.569_30.031_2022_30,52.066948
ID_-0.569_30.031_2022_31,30.116907
ID_-0.569_30.031_2022_32,52.175377
ID_-0.569_30.031_2022_33,80.29801
ID_-0.569_30.031_2022_34,8.748014
ID_-0.569_30.031_2022_35,67.62826
ID_-0.569_30.031_2022_36,62.676796
ID_-0.569_30.031_2022_37,37.32143
ID_-0.569_30.031_2022_38,29.603354
ID_-0.569_30.031_2022_39,63.2191
ID_-0.569_30.031_2022_40,64.87183
ID_-0.569_30.031_2022_41,51.18665
ID_-0.569_30.031_2022_42,69.521706
ID_-0.569_30.031_2022_43,70.71644
ID_-0.569_30.031_2022_44,49.95716
ID_-0.569_30.031_2022_45,61.316433
ID_-0.569_30.031_2022_46,60.31022
ID_-0.569_30.031_2022_47,63.62385
ID_-0.569_30.031_2022_48,63.229515
ID_-0.598_29.102_2022_00,69.73279
ID_-0.598_29.102_2022_01,36.683784
ID_-0.598_29.102_2022_02,16.123518
ID_-0.598_29.102_2022_03,47.611965
ID_-0.598_29.102_2022_04,60.8969
ID_-0.598_29.102_2022_05,32.891438
ID_-0.598_29.102_2022_06,61.398563
ID_-0.598_29.102_2022_07,72.52642
ID_-0.598_29.102_2022_08,63.689064
ID_-0.598_29.102_2022_09,74.69155
ID_-0.598_29.102_2022_10,75.146576
ID_-0.598_29.102_2022_11,67.325714
